"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2025","0.3638","0.3652","0.3689","0.3598","5.05M","-0.40%"
"06/07/2025","0.3652","0.3549","0.3669","0.3545","5.68M","3.04%"
"06/06/2025","0.3545","0.3455","0.3621","0.3448","12.50M","2.46%"
"06/05/2025","0.3459","0.3660","0.3722","0.3425","21.01M","-5.40%"
"06/04/2025","0.3657","0.3743","0.3804","0.3633","11.12M","-2.41%"
"06/03/2025","0.3747","0.3755","0.3828","0.3719","15.97M","-0.27%"
"06/02/2025","0.3757","0.3650","0.3766","0.3585","17.75M","2.90%"
"06/01/2025","0.3651","0.3653","0.3673","0.3557","23.24M","0.04%"
"05/31/2025","0.3649","0.3575","0.3678","0.3487","24.31M","2.05%"
"05/30/2025","0.3576","0.3953","0.3963","0.3571","47.10M","-9.31%"
"05/29/2025","0.3943","0.4040","0.4141","0.3914","35.23M","-2.52%"
"05/28/2025","0.4045","0.3983","0.4108","0.3904","28.28M","1.55%"
"05/27/2025","0.3983","0.3933","0.4077","0.3836","30.19M","1.34%"
"05/26/2025","0.3931","0.4006","0.4050","0.3894","23.84M","-1.87%"
"05/25/2025","0.4006","0.3992","0.4015","0.3853","24.05M","0.33%"
"05/24/2025","0.3993","0.4054","0.4132","0.3960","23.92M","-1.80%"
"05/23/2025","0.4066","0.4353","0.4462","0.4042","43.22M","-6.64%"
"05/22/2025","0.4355","0.4158","0.4404","0.4156","31.54M","4.66%"
"05/21/2025","0.4161","0.4057","0.4245","0.4011","34.64M","2.72%"
"05/20/2025","0.4051","0.4047","0.4136","0.3919","28.80M","0.33%"
"05/19/2025","0.4038","0.4177","0.4200","0.3887","36.93M","-3.41%"
"05/18/2025","0.4180","0.4040","0.4264","0.3929","29.34M","3.47%"
"05/17/2025","0.4040","0.4189","0.4198","0.3988","24.85M","-3.51%"
"05/16/2025","0.4187","0.4267","0.4368","0.4158","27.55M","-2.02%"
"05/15/2025","0.4273","0.4478","0.4528","0.4163","34.97M","-4.69%"
"05/14/2025","0.4483","0.4696","0.4774","0.4448","35.84M","-4.32%"
"05/13/2025","0.4686","0.4552","0.4735","0.4339","35.09M","2.99%"
"05/12/2025","0.4550","0.4543","0.4742","0.4358","47.72M","0.15%"
"05/11/2025","0.4543","0.4615","0.4648","0.4420","26.90M","-1.83%"
"05/10/2025","0.4628","0.4345","0.4637","0.4345","30.59M","6.67%"
"05/09/2025","0.4338","0.4115","0.4370","0.4104","43.64M","5.62%"
"05/08/2025","0.4108","0.3699","0.4116","0.3699","26.36M","10.99%"
"05/07/2025","0.3701","0.3689","0.3739","0.3619","13.48M","0.33%"
"05/06/2025","0.3689","0.3765","0.3787","0.3566","15.92M","-1.96%"
"05/05/2025","0.3762","0.3707","0.3801","0.3659","9.16M","1.59%"
"05/04/2025","0.3704","0.3821","0.3844","0.3681","9.44M","-3.41%"
"05/03/2025","0.3834","0.4053","0.4053","0.3803","8.89M","-5.31%"
"05/02/2025","0.4049","0.4063","0.4116","0.4010","9.28M","-0.33%"
"05/01/2025","0.4063","0.4023","0.4133","0.3996","10.40M","1.00%"
"04/30/2025","0.4023","0.4003","0.4066","0.3891","13.28M","0.28%"
"04/29/2025","0.4011","0.4071","0.4156","0.3980","12.88M","-1.49%"
"04/28/2025","0.4072","0.3940","0.4117","0.3869","14.89M","3.27%"
"04/27/2025","0.3943","0.4085","0.4139","0.3933","10.23M","-3.54%"
"04/26/2025","0.4088","0.4065","0.4173","0.4017","12.96M","0.64%"
"04/25/2025","0.4062","0.4022","0.4091","0.3966","17.44M","1.01%"
"04/24/2025","0.4021","0.3956","0.4028","0.3806","17.33M","1.72%"
"04/23/2025","0.3954","0.3925","0.4045","0.3884","21.16M","0.88%"
"04/22/2025","0.3919","0.3678","0.3923","0.3636","20.40M","6.37%"
"04/21/2025","0.3684","0.3745","0.3817","0.3670","15.92M","-1.67%"
